Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient1	patient1_t1	0	1	0
patient1	patient1_t1	0	2	0
patient1	patient1_t1	0	3	66
patient1	patient1_t1	0	4	8
patient1	patient1_t1	0	5	16
patient1	patient1_t1	0	6	10
patient1	patient1_t1	1	1	0
patient1	patient1_t1	1	2	0
patient1	patient1_t1	1	3	73
patient1	patient1_t1	1	4	0
patient1	patient1_t1	1	5	18
patient1	patient1_t1	1	6	9
patient1	patient1_t1	2	1	0
patient1	patient1_t1	2	2	4
patient1	patient1_t1	2	3	66
patient1	patient1_t1	2	4	0
patient1	patient1_t1	2	5	20
patient1	patient1_t1	2	6	10
patient1	patient1_t1	3	1	0
patient1	patient1_t1	3	2	0
patient1	patient1_t1	3	3	54
patient1	patient1_t1	3	4	13
patient1	patient1_t1	3	5	22
patient1	patient1_t1	3	6	11
patient1	patient1_t1	4	1	0
patient1	patient1_t1	4	2	0
patient1	patient1_t1	4	3	62
patient1	patient1_t1	4	4	9
patient1	patient1_t1	4	5	21
patient1	patient1_t1	4	6	8
patient1	patient1_t1	5	1	0
patient1	patient1_t1	5	2	0
patient1	patient1_t1	5	3	63
patient1	patient1_t1	5	4	12
patient1	patient1_t1	5	5	18
patient1	patient1_t1	5	6	7
patient1	patient1_t1	6	1	0
patient1	patient1_t1	6	2	4
patient1	patient1_t1	6	3	66
patient1	patient1_t1	6	4	0
patient1	patient1_t1	6	5	19
patient1	patient1_t1	6	6	11
patient1	patient1_t1	7	1	0
patient1	patient1_t1	7	2	0
patient1	patient1_t1	7	3	62
patient1	patient1_t1	7	4	11
patient1	patient1_t1	7	5	20
patient1	patient1_t1	7	6	7
patient1	patient1_t1	8	1	0
patient1	patient1_t1	8	2	0
patient1	patient1_t1	8	3	70
patient1	patient1_t1	8	4	0
patient1	patient1_t1	8	5	19
patient1	patient1_t1	8	6	11
patient1	patient1_t1	9	1	0
patient1	patient1_t1	9	2	0
patient1	patient1_t1	9	3	72
patient1	patient1_t1	9	4	0
patient1	patient1_t1	9	5	20
patient1	patient1_t1	9	6	8
patient1	patient1_t1	10	1	0
patient1	patient1_t1	10	2	0
patient1	patient1_t1	10	3	61
patient1	patient1_t1	10	4	10
patient1	patient1_t1	10	5	20
patient1	patient1_t1	10	6	9
patient1	patient1_t1	11	1	0
patient1	patient1_t1	11	2	0
patient1	patient1_t1	11	3	58
patient1	patient1_t1	11	4	9
patient1	patient1_t1	11	5	23
patient1	patient1_t1	11	6	10
patient1	patient1_t1	12	1	0
patient1	patient1_t1	12	2	0
patient1	patient1_t1	12	3	71
patient1	patient1_t1	12	4	0
patient1	patient1_t1	12	5	18
patient1	patient1_t1	12	6	11
patient1	patient1_t1	13	1	0
patient1	patient1_t1	13	2	0
patient1	patient1_t1	13	3	74
patient1	patient1_t1	13	4	0
patient1	patient1_t1	13	5	16
patient1	patient1_t1	13	6	10
patient1	patient1_t1	14	1	0
patient1	patient1_t1	14	2	0
patient1	patient1_t1	14	3	61
patient1	patient1_t1	14	4	12
patient1	patient1_t1	14	5	18
patient1	patient1_t1	14	6	9
patient1	patient1_t1	15	1	0
patient1	patient1_t1	15	2	1
patient1	patient1_t1	15	3	70
patient1	patient1_t1	15	4	0
patient1	patient1_t1	15	5	20
patient1	patient1_t1	15	6	9
patient1	patient1_t1	16	1	0
patient1	patient1_t1	16	2	0
patient1	patient1_t1	16	3	69
patient1	patient1_t1	16	4	0
patient1	patient1_t1	16	5	22
patient1	patient1_t1	16	6	9
patient1	patient1_t1	17	1	0
patient1	patient1_t1	17	2	0
patient1	patient1_t1	17	3	75
patient1	patient1_t1	17	4	0
patient1	patient1_t1	17	5	16
patient1	patient1_t1	17	6	9
patient1	patient1_t1	18	1	0
patient1	patient1_t1	18	2	0
patient1	patient1_t1	18	3	58
patient1	patient1_t1	18	4	13
patient1	patient1_t1	18	5	21
patient1	patient1_t1	18	6	8
patient1	patient1_t1	19	1	0
patient1	patient1_t1	19	2	0
patient1	patient1_t1	19	3	58
patient1	patient1_t1	19	4	8
patient1	patient1_t1	19	5	22
patient1	patient1_t1	19	6	12
patient1	patient1_t1	20	1	0
patient1	patient1_t1	20	2	2
patient1	patient1_t1	20	3	66
patient1	patient1_t1	20	4	0
patient1	patient1_t1	20	5	21
patient1	patient1_t1	20	6	11
patient1	patient1_t1	21	1	0
patient1	patient1_t1	21	2	0
patient1	patient1_t1	21	3	70
patient1	patient1_t1	21	4	0
patient1	patient1_t1	21	5	18
patient1	patient1_t1	21	6	12
patient1	patient1_t1	22	1	0
patient1	patient1_t1	22	2	0
patient1	patient1_t1	22	3	71
patient1	patient1_t1	22	4	0
patient1	patient1_t1	22	5	19
patient1	patient1_t1	22	6	10
patient1	patient1_t1	23	1	0
patient1	patient1_t1	23	2	2
patient1	patient1_t1	23	3	68
patient1	patient1_t1	23	4	0
patient1	patient1_t1	23	5	20
patient1	patient1_t1	23	6	10
patient1	patient1_t1	24	1	0
patient1	patient1_t1	24	2	0
patient1	patient1_t1	24	3	64
patient1	patient1_t1	24	4	9
patient1	patient1_t1	24	5	18
patient1	patient1_t1	24	6	9
patient1	patient1_t1	25	1	0
patient1	patient1_t1	25	2	1
patient1	patient1_t1	25	3	70
patient1	patient1_t1	25	4	0
patient1	patient1_t1	25	5	19
patient1	patient1_t1	25	6	10
patient1	patient1_t1	26	1	0
patient1	patient1_t1	26	2	2
patient1	patient1_t1	26	3	59
patient1	patient1_t1	26	4	11
patient1	patient1_t1	26	5	20
patient1	patient1_t1	26	6	8
patient1	patient1_t1	27	1	0
patient1	patient1_t1	27	2	1
patient1	patient1_t1	27	3	73
patient1	patient1_t1	27	4	0
