gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.4578822072886113	sample_15	71	32	39
gene_1	0.3576826281923775	sample_15	98	35	63
gene_2	0.22941623811027978	sample_15	152	34	118
gene_3	0.680565399214305	sample_15	61	41	20
gene_4	0.11730236202223365	sample_15	59	6	53
gene_5	0.7174729230004138	sample_15	188	134	54
gene_6	0.5738505894421173	sample_15	144	82	62
gene_7	0.9232353041577194	sample_15	83	76	7
gene_8	0.6617271671661898	sample_15	196	129	67
gene_9	0.5828937960437149	sample_15	181	105	76
gene_10	0.9051817679961311	sample_15	55	49	6
gene_11	0.7095566344061442	sample_15	186	131	55
gene_12	0.806868620965629	sample_15	102	82	20
gene_13	0.8506905727006947	sample_15	162	137	25
gene_14	0.043564138591484114	sample_15	68	2	66
gene_15	0.18247636474627016	sample_15	124	22	102
gene_16	0.7350138671152752	sample_15	145	106	39
gene_17	0.4968364966578991	sample_15	57	28	29
gene_18	0.4746741102157994	sample_15	121	57	64
gene_19	0.5007754405969708	sample_15	145	72	73
gene_20	0.12983136578707488	sample_15	101	13	88
gene_21	0.15567977512070186	sample_15	52	8	44
gene_22	0.990405300354617	sample_15	152	150	2
gene_23	0.37930903039828234	sample_15	110	41	69
gene_24	0.11889131868407521	sample_15	144	17	127
