gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.7781941133582785	sample_6	68	52	16
gene_1	0.868609577746217	sample_6	151	131	20
gene_2	0.40999321375933895	sample_6	91	37	54
gene_3	0.8798329023624323	sample_6	144	126	18
gene_4	0.5721370274085631	sample_6	74	42	32
gene_5	0.14877273328458762	sample_6	69	10	59
gene_6	0.9158945491029163	sample_6	171	156	15
gene_7	0.5469447173341649	sample_6	79	43	36
gene_8	0.17275439657321845	sample_6	60	10	50
gene_9	0.7990433384786415	sample_6	179	143	36
gene_10	0.4098468100018442	sample_6	79	32	47
gene_11	0.7014864274117923	sample_6	94	65	29
gene_12	0.6031423852298502	sample_6	76	45	31
gene_13	0.616171911094973	sample_6	182	112	70
gene_14	0.1539357415941388	sample_6	82	12	70
gene_15	0.18164732001554207	sample_6	138	25	113
gene_16	0.37932921313376866	sample_6	161	61	100
gene_17	0.79085763625213	sample_6	162	128	34
gene_18	0.2474596130338984	sample_6	146	36	110
gene_19	0.4047979918833978	sample_6	75	30	45
gene_20	0.14370283591786925	sample_6	163	23	140
gene_21	0.04093477012234881	sample_6	57	2	55
gene_22	0.7217551195117762	sample_6	60	43	17
gene_23	0.5245415642711343	sample_6	75	39	36
gene_24	0.46638374825575246	sample_6	175	81	94
gene_25	0.7467982617854321	sample_6	154	115	39
gene_26	0.7752765958412506	sample_6	107	82	25
gene_27	0.69293374497705	sample_6	51	35	16
gene_28	0.7240930928961502	sample_6	113	81	32
gene_29	0.4780270305086509	sample_6	138	65	73
gene_30	0.34687519454021976	sample_6	182	63	119
gene_31	0.5674839582283094	sample_6	164	93	71
gene_32	0.27318990797576104	sample_6	197	53	144
gene_33	0.6829181099761299	sample_6	147	100	47
gene_34	0.6743197435335982	sample_6	94	63	31
gene_35	0.6232364942311007	sample_6	89	55	34
gene_36	0.9572629627851539	sample_6	109	104	5
gene_37	0.17234053048886566	sample_6	143	24	119
gene_38	0.6997760947842107	sample_6	91	63	28
gene_39	0.8351379390599256	sample_6	84	70	14
gene_40	0.6026794922088574	sample_6	76	45	31
gene_41	0.9414654166235222	sample_6	112	105	7
gene_42	0.8047269993023317	sample_6	93	74	19
gene_43	0.7872632545724424	sample_6	80	62	18
gene_44	0.1387924294865407	sample_6	98	13	85
gene_45	0.9013398005084491	sample_6	178	160	18
gene_46	0.8272519721856065	sample_6	104	86	18
