gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.06984099711222036	sample_10	74	5	69
gene_1	0.6608287556672757	sample_10	53	35	18
gene_2	0.701410921383823	sample_10	97	68	29
gene_3	0.14285611415269295	sample_10	55	7	48
gene_4	0.036318194417669036	sample_10	82	2	80
gene_5	0.04962327813830558	sample_10	139	6	133
gene_6	0.6079081330358468	sample_10	186	113	73
gene_7	0.21940397566329306	sample_10	88	19	69
gene_8	0.16957040448722138	sample_10	56	9	47
gene_9	0.2518576438875184	sample_10	60	15	45
gene_10	0.6586188934940927	sample_10	197	129	68
gene_11	0.7159943843021299	sample_10	177	126	51
gene_12	0.27223956419176176	sample_10	88	23	65
gene_13	0.5988831945841891	sample_10	78	46	32
gene_14	0.5043790054553525	sample_10	179	90	89
gene_15	0.2156456203190299	sample_10	173	37	136
gene_16	0.5183302859497884	sample_10	107	55	52
gene_17	0.12385941499934727	sample_10	104	12	92
gene_18	0.8529147142764519	sample_10	194	165	29
gene_19	0.9397586121590598	sample_10	170	159	11
gene_20	0.7447405025885259	sample_10	147	109	38
gene_21	0.9806171831796789	sample_10	133	130	3
gene_22	0.13064436854011563	sample_10	195	25	170
gene_23	0.07675020097961605	sample_10	102	7	95
gene_24	0.022487745819850913	sample_10	72	1	71
gene_25	0.3785169509201314	sample_10	58	21	37
gene_26	0.13699719799141852	sample_10	116	15	101
gene_27	0.6483634619566375	sample_10	86	55	31
gene_28	0.10664010635770493	sample_10	103	10	93
gene_29	0.19372581162840308	sample_10	107	20	87
gene_30	0.004222780143398275	sample_10	154	0	154
gene_31	0.8766264725741268	sample_10	140	122	18
gene_32	0.6329691539287451	sample_10	70	44	26
gene_33	0.7144341571602465	sample_10	68	48	20
gene_34	0.49440745222265003	sample_10	112	55	57
gene_35	0.8154782418242446	sample_10	139	113	26
gene_36	0.9541509359603546	sample_10	61	58	3
gene_37	0.4004601177065297	sample_10	140	56	84
gene_38	0.2407785287814268	sample_10	199	47	152
gene_39	0.17459513100955237	sample_10	158	27	131
