gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.98914164908385	sample_2	196	193	3
gene_1	0.545587008641862	sample_2	111	60	51
gene_2	0.457300308540608	sample_2	181	82	99
gene_3	0.6572837162185425	sample_2	177	116	61
gene_4	0.25692874263402576	sample_2	175	44	131
gene_5	0.6623489574946696	sample_2	62	41	21
gene_6	0.40525126662559463	sample_2	198	80	118
gene_7	0.20435397394487442	sample_2	103	21	82
gene_8	0.7447923109047773	sample_2	80	59	21
gene_9	0.5774380706586101	sample_2	58	33	25
gene_10	0.16477410707191997	sample_2	62	10	52
gene_11	0.008886169731292748	sample_2	184	1	183
gene_12	0.309006939849775	sample_2	190	58	132
gene_13	0.23610908369954842	sample_2	88	20	68
gene_14	0.2478781348330703	sample_2	185	45	140
gene_15	0.6658225257707673	sample_2	79	52	27
gene_16	0.82014607192787	sample_2	169	138	31
gene_17	0.5183500556163687	sample_2	153	79	74
gene_18	0.21882814767667436	sample_2	167	36	131
gene_19	0.3679618302931067	sample_2	133	48	85
gene_20	0.8243258509597327	sample_2	72	59	13
gene_21	0.15084174373244374	sample_2	147	22	125
gene_22	0.8499889373789911	sample_2	165	140	25
gene_23	0.9579006603574912	sample_2	56	53	3
gene_24	0.9946857738879509	sample_2	126	125	1
gene_25	0.06950639613134657	sample_2	82	5	77
gene_26	0.6727353605255693	sample_2	120	80	40
gene_27	0.085971452892881	sample_2	165	14	151
gene_28	0.7589463865281347	sample_2	139	105	34
gene_29	0.3071186980355831	sample_2	73	22	51
gene_30	0.36301430748234353	sample_2	84	30	54
gene_31	0.5451621280965719	sample_2	65	35	30
gene_32	0.7601824523958516	sample_2	86	65	21
gene_33	0.3138659888771249	sample_2	146	45	101
gene_34	0.07627760870680189	sample_2	103	7	96
gene_35	0.170647777170028	sample_2	63	10	53
gene_36	0.5276071131739424	sample_2	168	88	80
gene_37	0.02150907350992748	sample_2	187	4	183
gene_38	0.7706601367869401	sample_2	194	149	45
gene_39	0.6045638800025276	sample_2	179	108	71
gene_40	0.4250638062974257	sample_2	172	73	99
gene_41	0.2561600644510388	sample_2	59	15	44
