gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.040057143254249694	sample_17	178	7	171
gene_1	0.4893044484095105	sample_17	121	59	62
gene_2	0.3636888896993431	sample_17	153	55	98
gene_3	0.12239075003630862	sample_17	75	9	66
gene_4	0.21404008628725346	sample_17	73	15	58
gene_5	0.007368130336148471	sample_17	58	0	58
gene_6	0.6820726546657495	sample_17	179	122	57
gene_7	0.17888690548168418	sample_17	187	33	154
gene_8	0.38787631979277903	sample_17	149	57	92
gene_9	0.06435635164690157	sample_17	67	4	63
gene_10	0.883898741528809	sample_17	53	46	7
gene_11	0.8973335860730287	sample_17	70	62	8
