gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.37795935457464813	sample_1	69	26	43
gene_1	0.12627433202176708	sample_1	154	19	135
gene_2	0.5687160899842407	sample_1	101	57	44
gene_3	0.11308257992099247	sample_1	181	20	161
gene_4	0.2233612666381748	sample_1	188	41	147
gene_5	0.41403100272573023	sample_1	160	66	94
gene_6	0.9028491361517809	sample_1	83	74	9
gene_7	0.7945866488426402	sample_1	124	98	26
gene_8	0.05569013527113886	sample_1	120	6	114
gene_9	0.10584956871281437	sample_1	86	9	77
gene_10	0.38994405930441856	sample_1	174	67	107
gene_11	0.9383147686448413	sample_1	164	153	11
gene_12	0.4425208704819531	sample_1	191	84	107
gene_13	0.45294455267880185	sample_1	129	58	71
gene_14	0.13251585050232673	sample_1	56	7	49
gene_15	0.6829655871563629	sample_1	55	37	18
gene_16	0.17543772161462368	sample_1	191	33	158
