gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.7353921870982352	sample_13	163	119	44
gene_1	0.2462484156335193	sample_13	133	32	101
gene_2	0.6577902520151222	sample_13	102	67	35
gene_3	0.718126183106792	sample_13	79	56	23
gene_4	0.36534106543831346	sample_13	139	50	89
gene_5	0.17620928702978544	sample_13	176	31	145
gene_6	0.27192112077341435	sample_13	176	47	129
gene_7	0.5597601140338035	sample_13	196	109	87
gene_8	0.9120824960821098	sample_13	128	116	12
gene_9	0.36928617351133	sample_13	93	34	59
gene_10	0.719960652590106	sample_13	62	44	18
gene_11	0.7284935850370923	sample_13	112	81	31
gene_12	0.5816952179462629	sample_13	170	98	72
gene_13	0.5131474237524423	sample_13	161	82	79
gene_14	0.9629087447314694	sample_13	77	74	3
gene_15	0.933304827174751	sample_13	75	69	6
gene_16	0.6819750877399463	sample_13	198	135	63
gene_17	0.3905303948819109	sample_13	144	56	88
gene_18	0.4597966423004919	sample_13	136	62	74
gene_19	0.9385051624046148	sample_13	177	166	11
gene_20	0.39196301865749705	sample_13	156	61	95
gene_21	0.01849350877079503	sample_13	129	2	127
gene_22	0.5194275587569636	sample_13	91	47	44
gene_23	0.7567457172462366	sample_13	87	65	22
gene_24	0.09018179806311744	sample_13	160	14	146
gene_25	0.054221441101429235	sample_13	151	8	143
gene_26	0.5052009531811549	sample_13	139	70	69
gene_27	0.5400721056905168	sample_13	50	27	23
gene_28	0.7466456468963051	sample_13	164	122	42
gene_29	0.50356939987268	sample_13	169	85	84
gene_30	0.13887734250112638	sample_13	68	9	59
gene_31	0.6487625111831036	sample_13	111	72	39
gene_32	0.49024002968686964	sample_13	57	27	30
