gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.17751148138543427	sample_1	182	32	150
gene_1	0.49937078510484123	sample_1	193	96	97
gene_2	0.6050748940133228	sample_1	90	54	36
gene_3	0.9658521032555939	sample_1	124	119	5
gene_4	0.18449389917679526	sample_1	83	15	68
gene_5	0.8808503135677869	sample_1	120	105	15
gene_6	0.22667769681515726	sample_1	159	36	123
gene_7	0.3634605561892674	sample_1	187	67	120
gene_8	0.7261346547840533	sample_1	188	136	52
gene_9	0.5494888609899575	sample_1	180	98	82
gene_10	0.7726321280857915	sample_1	99	76	23
gene_11	0.35053621096653675	sample_1	147	51	96
gene_12	0.5690303079846383	sample_1	197	112	85
gene_13	0.0550349561102198	sample_1	87	4	83
gene_14	0.5994530140633803	sample_1	119	71	48
gene_15	0.2763337316857025	sample_1	89	24	65
gene_16	0.2775343585393857	sample_1	178	49	129
gene_17	0.8664094549436441	sample_1	112	97	15
gene_18	0.9341121705173313	sample_1	74	69	5
gene_19	0.5232424982276594	sample_1	181	94	87
gene_20	0.793548806910661	sample_1	168	133	35
gene_21	0.05742714568459739	sample_1	170	9	161
gene_22	0.21009084264429068	sample_1	61	12	49
gene_23	0.8136852773947053	sample_1	50	40	10
gene_24	0.6905322483460947	sample_1	134	92	42
gene_25	0.8991709145755702	sample_1	123	110	13
gene_26	0.006694350008779382	sample_1	156	1	155
gene_27	0.08652698481023635	sample_1	118	10	108
gene_28	0.7673383558474042	sample_1	185	141	44
gene_29	0.5794207459071925	sample_1	118	68	50
gene_30	0.8909549475177778	sample_1	98	87	11
gene_31	0.3659107255317877	sample_1	189	69	120
gene_32	0.6544053946423847	sample_1	77	50	27
gene_33	0.5952646137883676	sample_1	180	107	73
gene_34	0.26592969591509574	sample_1	165	43	122
gene_35	0.9862688068627394	sample_1	91	89	2
gene_36	0.2815972929696371	sample_1	116	32	84
gene_37	0.5106726652016897	sample_1	133	67	66
gene_38	0.8802426522240335	sample_1	61	53	8
