gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.7346831137465712	sample_8	137	100	37
gene_1	0.09526142660706927	sample_8	61	5	56
gene_2	0.8590086602450507	sample_8	117	100	17
gene_3	0.7116186861855733	sample_8	108	76	32
gene_4	0.17577869831522586	sample_8	138	24	114
gene_5	0.3919043913739416	sample_8	104	40	64
gene_6	0.9133266076338419	sample_8	81	73	8
gene_7	0.592658267758574	sample_8	153	90	63
gene_8	0.038312523695436584	sample_8	126	4	122
gene_9	0.9593086587671992	sample_8	64	61	3
gene_10	0.343219113781434	sample_8	99	33	66
gene_11	0.5934549974139568	sample_8	55	32	23
gene_12	0.640467442854637	sample_8	70	44	26
gene_13	0.88011152722787	sample_8	103	90	13
gene_14	0.7357007087163625	sample_8	105	77	28
gene_15	0.04441795214825772	sample_8	52	2	50
gene_16	0.14083025353828316	sample_8	145	20	125
gene_17	0.3092122398157974	sample_8	66	20	46
gene_18	0.9170987935216325	sample_8	134	122	12
