gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.2706294443606909	sample_14	166	44	122
gene_1	0.8434610981552817	sample_14	57	48	9
gene_2	0.8759669940072823	sample_14	183	160	23
gene_3	0.6021642679434911	sample_14	64	38	26
gene_4	0.48834126061839667	sample_14	125	61	64
gene_5	0.6570231129554571	sample_14	172	113	59
gene_6	0.03955881221989421	sample_14	98	3	95
gene_7	0.316985542840174	sample_14	120	38	82
gene_8	0.7388689961810537	sample_14	68	50	18
gene_9	0.6516544922579677	sample_14	88	57	31
gene_10	0.7724197577399967	sample_14	195	150	45
gene_11	0.07747808422319202	sample_14	187	14	173
gene_12	0.4633758668472856	sample_14	77	35	42
gene_13	0.20668748882380217	sample_14	185	38	147
gene_14	0.24176167915529156	sample_14	76	18	58
gene_15	0.7923184974345343	sample_14	171	135	36
gene_16	0.1663482412886721	sample_14	174	28	146
gene_17	0.28850823095900513	sample_14	196	56	140
gene_18	0.683319912308311	sample_14	198	135	63
gene_19	0.5340730705625412	sample_14	65	34	31
gene_20	0.842127568786107	sample_14	83	69	14
gene_21	0.29212828227855847	sample_14	70	20	50
gene_22	0.43990597375129603	sample_14	140	61	79
gene_23	0.06425071544683703	sample_14	115	7	108
gene_24	0.018017323326030565	sample_14	95	1	94
gene_25	0.48386904270387243	sample_14	173	83	90
gene_26	0.15330466515135643	sample_14	196	30	166
gene_27	0.4854831763999642	sample_14	65	31	34
gene_28	0.13787574579087303	sample_14	117	16	101
gene_29	0.8980447871026725	sample_14	74	66	8
gene_30	0.6760581418177212	sample_14	193	130	63
gene_31	0.8451798301994932	sample_14	195	164	31
gene_32	0.6109905470191194	sample_14	72	43	29
gene_33	0.7038421689191241	sample_14	64	45	19
gene_34	0.04467077361321903	sample_14	188	8	180
