gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.869231885416428	sample_11	64	55	9
gene_1	0.08720556288067116	sample_11	197	17	180
gene_2	0.4717613365296307	sample_11	166	78	88
gene_3	0.12924362652394017	sample_11	128	16	112
gene_4	0.9855783789952761	sample_11	78	76	2
gene_5	0.2362826313026264	sample_11	109	25	84
gene_6	0.8635145935965736	sample_11	88	75	13
gene_7	0.2194749343653114	sample_11	140	30	110
gene_8	0.8774774302166449	sample_11	76	66	10
gene_9	0.2040017047120969	sample_11	73	14	59
gene_10	0.5832027421664839	sample_11	197	114	83
gene_11	0.6921811411337448	sample_11	109	75	34
gene_12	0.6101771969408625	sample_11	171	104	67
gene_13	0.9833326009622636	sample_11	54	53	1
