gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.41465066878766954	sample_7	62	25	37
gene_1	0.9836255639779664	sample_7	188	184	4
gene_2	0.5900144698731876	sample_7	60	35	25
gene_3	0.7897736128745492	sample_7	82	64	18
gene_4	0.9786568730207948	sample_7	64	62	2
gene_5	0.3614817581963684	sample_7	163	58	105
gene_6	0.2989571548660138	sample_7	118	35	83
gene_7	0.2224940796537236	sample_7	87	19	68
gene_8	0.4199427810407006	sample_7	142	59	83
gene_9	0.7326523323411519	sample_7	65	47	18
gene_10	0.647557943013775	sample_7	126	81	45
gene_11	0.1129310507670297	sample_7	87	9	78
gene_12	0.6431571469272869	sample_7	75	48	27
gene_13	0.012767837559914619	sample_7	89	1	88
gene_14	0.9231200093955677	sample_7	183	168	15
gene_15	0.21374162027995336	sample_7	66	14	52
gene_16	0.6810817718119445	sample_7	113	76	37
gene_17	0.25695840519544255	sample_7	129	33	96
gene_18	0.2157475920291323	sample_7	67	14	53
gene_19	0.9378667997630474	sample_7	139	130	9
gene_20	0.7991108545039229	sample_7	170	135	35
gene_21	0.4068681186638531	sample_7	53	21	32
gene_22	0.8083460534791335	sample_7	121	97	24
gene_23	0.061891882806958565	sample_7	153	9	144
gene_24	0.8169160884315569	sample_7	138	112	26
gene_25	0.48581467670795386	sample_7	78	37	41
gene_26	0.4031880183008215	sample_7	56	22	34
gene_27	0.3660791604919722	sample_7	158	57	101
