gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.9714733855083263	sample_19	171	166	5
gene_1	0.1359052198264984	sample_19	162	22	140
gene_2	0.30167391785887365	sample_19	70	21	49
gene_3	0.5805272440796493	sample_19	121	70	51
gene_4	0.24901490460314935	sample_19	163	40	123
gene_5	0.7791634433976595	sample_19	166	129	37
gene_6	0.9818676114746183	sample_19	84	82	2
gene_7	0.24870622544043042	sample_19	51	12	39
gene_8	0.24553501961267143	sample_19	92	22	70
gene_9	0.6133768038466398	sample_19	169	103	66
gene_10	0.8574409681668489	sample_19	161	138	23
gene_11	0.3221927488919196	sample_19	164	52	112
gene_12	0.553302223579886	sample_19	159	87	72
gene_13	0.40627770468791957	sample_19	74	30	44
gene_14	0.4114237270736181	sample_19	172	70	102
gene_15	0.5192457473524194	sample_19	150	77	73
gene_16	0.24940156352516052	sample_19	70	17	53
gene_17	0.4378511654811498	sample_19	107	46	61
gene_18	0.9997630203318947	sample_19	145	144	1
gene_19	0.7049542901636687	sample_19	65	45	20
gene_20	0.8229249211398268	sample_19	131	107	24
gene_21	0.8998549721742558	sample_19	170	152	18
gene_22	0.2718180917377446	sample_19	144	39	105
gene_23	0.025735236079297286	sample_19	62	1	61
gene_24	0.9225924394407439	sample_19	194	178	16
gene_25	0.5256173537247509	sample_19	85	44	41
gene_26	0.9907362653894418	sample_19	195	193	2
gene_27	0.7114867906938325	sample_19	176	125	51
gene_28	0.3908536519762681	sample_19	150	58	92
gene_29	0.7548423134654233	sample_19	145	109	36
gene_30	0.054633763774666444	sample_19	52	2	50
gene_31	0.18297107481845554	sample_19	169	30	139
gene_32	0.9572338062865936	sample_19	115	110	5
gene_33	0.11324407287678107	sample_19	116	13	103
gene_34	0.6520171631575742	sample_19	150	97	53
gene_35	0.3504027719559587	sample_19	170	59	111
gene_36	0.6243998193165882	sample_19	50	31	19
gene_37	0.06725415600727225	sample_19	123	8	115
gene_38	0.29686045852368803	sample_19	112	33	79
gene_39	0.9791454558253478	sample_19	180	176	4
gene_40	0.6384044108010173	sample_19	168	107	61
gene_41	0.5404337798811031	sample_19	126	68	58
gene_42	0.8765168943195053	sample_19	155	135	20
gene_43	0.824271189698433	sample_19	84	69	15
gene_44	0.2660306974214873	sample_19	65	17	48
gene_45	0.029832046768376363	sample_19	183	5	178
gene_46	0.7618175868357026	sample_19	150	114	36
gene_47	0.5064310408868503	sample_19	140	70	70
gene_48	0.8464451397366101	sample_19	101	85	16
