gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.5833985389834223	sample_19	83	48	35
gene_1	0.3330716837650656	sample_19	82	27	55
gene_2	0.8494753709237091	sample_19	175	148	27
gene_3	0.6939459370469271	sample_19	177	122	55
gene_4	0.9062084173513931	sample_19	179	162	17
gene_5	0.27874203002228615	sample_19	75	20	55
gene_6	0.7864154274710567	sample_19	61	47	14
gene_7	0.7825639891137651	sample_19	124	97	27
gene_8	0.8752105567179294	sample_19	161	140	21
gene_9	0.7646253847469104	sample_19	125	95	30
gene_10	0.4288303727388364	sample_19	181	77	104
gene_11	0.6481121356721128	sample_19	61	39	22
gene_12	0.6184555973135539	sample_19	92	56	36
gene_13	0.17038408084614864	sample_19	198	33	165
gene_14	0.30305870609785723	sample_19	106	32	74
gene_15	0.8319133596906608	sample_19	146	121	25
gene_16	0.1682653664196767	sample_19	172	28	144
gene_17	0.9747805987178708	sample_19	79	77	2
gene_18	0.3630430348751842	sample_19	62	22	40
gene_19	0.1345797986484244	sample_19	53	7	46
gene_20	0.7518694225547572	sample_19	95	71	24
gene_21	0.10606947343450013	sample_19	178	18	160
gene_22	0.9115000197249767	sample_19	106	96	10
gene_23	0.738946818354449	sample_19	90	66	24
gene_24	0.28060216047033626	sample_19	57	15	42
gene_25	0.6715928102226343	sample_19	72	48	24
gene_26	0.7429809603975258	sample_19	131	97	34
gene_27	0.43405774891949656	sample_19	95	41	54
gene_28	0.17901270103599276	sample_19	179	32	147
gene_29	0.5632880926927045	sample_19	153	86	67
gene_30	0.2872557604891923	sample_19	170	48	122
gene_31	0.9501812434730363	sample_19	174	165	9
gene_32	0.32266789418037833	sample_19	104	33	71
gene_33	0.1144381374863086	sample_19	77	8	69
gene_34	0.7159819230198591	sample_19	71	50	21
gene_35	0.8848078091132455	sample_19	84	74	10
gene_36	0.3847177006744049	sample_19	157	60	97
gene_37	0.008704568408654967	sample_19	113	0	113
gene_38	0.030661212752064904	sample_19	51	1	50
gene_39	0.9646004541176447	sample_19	169	163	6
gene_40	0.44067423781102	sample_19	191	84	107
gene_41	0.13244436258191628	sample_19	148	19	129
gene_42	0.07805804452851928	sample_19	99	7	92
gene_43	0.3525705291485659	sample_19	164	57	107
gene_44	0.03716544762554763	sample_19	105	3	102
