gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.3346322284766461	sample_0	110	36	74
gene_1	0.24699723129683393	sample_0	106	26	80
gene_2	0.3576343633496999	sample_0	133	47	86
gene_3	0.789236331502427	sample_0	85	67	18
gene_4	0.6543615353842055	sample_0	146	95	51
gene_5	0.01955224481925011	sample_0	115	2	113
gene_6	0.17864272796569813	sample_0	104	18	86
gene_7	0.4682432386792309	sample_0	167	78	89
gene_8	0.8918112602166585	sample_0	168	149	19
gene_9	0.5095569833716797	sample_0	161	82	79
gene_10	0.3071531325675416	sample_0	88	27	61
