gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.7722594649751315	sample_8	67	51	16
gene_1	0.748951223439366	sample_8	190	142	48
gene_2	0.5937001406817722	sample_8	89	52	37
gene_3	0.8997827162788253	sample_8	179	161	18
gene_4	0.19344248411991283	sample_8	196	37	159
gene_5	0.787014018636138	sample_8	114	89	25
gene_6	0.36193433937183817	sample_8	97	35	62
gene_7	0.14721669431855988	sample_8	167	24	143
gene_8	0.7830367989661757	sample_8	138	108	30
gene_9	0.8951640915100176	sample_8	60	53	7
gene_10	0.4840486378687098	sample_8	65	31	34
gene_11	0.28421688823345925	sample_8	122	34	88
gene_12	0.38803182682756243	sample_8	181	70	111
gene_13	0.64238981301767	sample_8	161	103	58
gene_14	0.31542665825404403	sample_8	162	51	111
gene_15	0.8466169356503422	sample_8	174	147	27
gene_16	0.6718198586793768	sample_8	124	83	41
gene_17	0.7233953754821368	sample_8	70	50	20
gene_18	0.25360240925274125	sample_8	66	16	50
gene_19	0.944562659178792	sample_8	146	137	9
gene_20	0.3723681606019813	sample_8	181	67	114
gene_21	0.7548346889462255	sample_8	120	90	30
gene_22	0.25657591461510565	sample_8	86	22	64
gene_23	0.12909584752397496	sample_8	125	16	109
gene_24	0.17191566398548208	sample_8	183	31	152
gene_25	0.9993792245240433	sample_8	79	78	1
gene_26	0.22841360939634026	sample_8	155	35	120
gene_27	0.5919514214496651	sample_8	68	40	28
gene_28	0.48801259516840334	sample_8	116	56	60
gene_29	0.5447624033023447	sample_8	93	50	43
gene_30	0.48941680093337325	sample_8	102	49	53
gene_31	0.5118724459441629	sample_8	89	45	44
gene_32	0.8026559688689595	sample_8	141	113	28
gene_33	0.6555375671832468	sample_8	153	100	53
gene_34	0.746339757931561	sample_8	63	47	16
gene_35	0.2889002327975767	sample_8	100	28	72
gene_36	0.030142867992836164	sample_8	181	5	176
gene_37	0.2194265125473479	sample_8	158	34	124
gene_38	0.49644911383189716	sample_8	186	92	94
gene_39	0.8180558053249997	sample_8	68	55	13
gene_40	0.971496369490918	sample_8	64	62	2
gene_41	0.09641378475379159	sample_8	143	13	130
gene_42	0.8960045983358549	sample_8	67	60	7
gene_43	0.5827993478728715	sample_8	131	76	55
gene_44	0.5996960615224883	sample_8	165	98	67
gene_45	0.9594905994400128	sample_8	126	120	6
gene_46	0.28562149721107266	sample_8	152	43	109
gene_47	0.7697385502377575	sample_8	165	127	38
