gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.7896744261322335	sample_7	67	52	15
gene_1	0.009455446822853819	sample_7	152	1	151
gene_2	0.6808289003074154	sample_7	123	83	40
gene_3	0.9656781283308167	sample_7	55	53	2
gene_4	0.9071080678193996	sample_7	185	167	18
gene_5	0.16228839509096826	sample_7	186	30	156
gene_6	0.06596072473992587	sample_7	166	10	156
gene_7	0.8879561045560621	sample_7	65	57	8
gene_8	0.4153855158010624	sample_7	183	76	107
gene_9	0.5428256870833341	sample_7	121	65	56
gene_10	0.842191705151438	sample_7	76	64	12
gene_11	0.11522453100306163	sample_7	109	12	97
gene_12	0.1711977362892947	sample_7	90	15	75
gene_13	0.011548289119771682	sample_7	124	1	123
gene_14	0.3274375502433524	sample_7	52	17	35
gene_15	2.497306280846434e-05	sample_7	130	0	130
gene_16	0.08982745868621833	sample_7	59	5	54
gene_17	0.8832887133649117	sample_7	96	84	12
gene_18	0.2429412656140565	sample_7	88	21	67
gene_19	0.24356087242374147	sample_7	189	46	143
gene_20	0.05761069605678826	sample_7	54	3	51
gene_21	0.05500826462915398	sample_7	65	3	62
gene_22	0.07123963710910164	sample_7	192	13	179
gene_23	0.7554974248442989	sample_7	117	88	29
gene_24	0.14352612325099068	sample_7	71	10	61
gene_25	0.4106578545998132	sample_7	108	44	64
gene_26	0.5720809439259823	sample_7	129	73	56
gene_27	0.06251943574801377	sample_7	107	6	101
gene_28	0.38354397239692106	sample_7	70	26	44
gene_29	0.4266059678022104	sample_7	87	37	50
gene_30	0.21704013445120518	sample_7	126	27	99
gene_31	0.3192934060482535	sample_7	163	52	111
gene_32	0.3990762581527454	sample_7	168	67	101
gene_33	0.9911128614003589	sample_7	151	149	2
gene_34	0.22822389744103122	sample_7	145	33	112
gene_35	0.8888394502681153	sample_7	135	119	16
gene_36	0.26632190401140554	sample_7	142	37	105
gene_37	0.6380088906947134	sample_7	118	75	43
gene_38	0.14935545074677115	sample_7	96	14	82
gene_39	0.5389237791781384	sample_7	81	43	38
gene_40	0.8587277964843484	sample_7	95	81	14
gene_41	0.11730884139739284	sample_7	102	11	91
gene_42	0.8223341043802495	sample_7	108	88	20
gene_43	0.4731336803792471	sample_7	103	48	55
gene_44	0.3152108714979922	sample_7	194	61	133
gene_45	0.5438076531428057	sample_7	112	60	52
