gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.6245874503571764	sample_12	63	39	24
gene_1	0.05145431864582839	sample_12	72	3	69
gene_2	0.6502010356117218	sample_12	160	104	56
gene_3	0.07278948598394974	sample_12	194	14	180
gene_4	0.5340294631523185	sample_12	79	42	37
gene_5	0.056077324902499615	sample_12	58	3	55
gene_6	0.3902166050133975	sample_12	99	38	61
gene_7	0.9998004899391503	sample_12	184	183	1
gene_8	0.7180417788493798	sample_12	141	101	40
gene_9	0.5079281503197938	sample_12	94	47	47
gene_10	0.1668012108835758	sample_12	143	23	120
