gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.805795598422974	sample_4	154	124	30
gene_1	0.8280913811714293	sample_4	135	111	24
gene_2	0.7456728290182655	sample_4	81	60	21
gene_3	0.6060238165454322	sample_4	58	35	23
gene_4	0.21790277967543026	sample_4	182	39	143
gene_5	0.527452138003742	sample_4	56	29	27
gene_6	0.04022166248604564	sample_4	144	5	139
gene_7	0.7722247794837834	sample_4	50	38	12
gene_8	0.583760824510203	sample_4	134	78	56
gene_9	0.5970672274236736	sample_4	119	71	48
gene_10	0.24710477131110975	sample_4	136	33	103
gene_11	0.03185884830016961	sample_4	59	1	58
gene_12	0.6054164203449643	sample_4	144	87	57
gene_13	0.19629068649262504	sample_4	167	32	135
gene_14	0.8408987161655846	sample_4	161	135	26
gene_15	0.940174374101605	sample_4	177	166	11
gene_16	0.7852264107218023	sample_4	85	66	19
gene_17	0.4591408432118237	sample_4	137	62	75
gene_18	0.02818089182411654	sample_4	122	3	119
gene_19	0.9905619582355542	sample_4	95	94	1
gene_20	0.2056763873595443	sample_4	101	20	81
gene_21	0.748305826771788	sample_4	116	86	30
gene_22	0.7808266839182417	sample_4	133	103	30
gene_23	0.38561560324677047	sample_4	87	33	54
