gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.19520083513971864	sample_9	55	10	45
gene_1	0.7719723194832977	sample_9	95	73	22
gene_2	0.33984310575465715	sample_9	71	24	47
gene_3	0.013484005444803437	sample_9	151	2	149
gene_4	0.7326543244195787	sample_9	75	54	21
gene_5	0.31812776219418926	sample_9	75	23	52
gene_6	0.6971619308571396	sample_9	57	39	18
gene_7	0.8065144960015473	sample_9	55	44	11
gene_8	0.9986026352925678	sample_9	141	140	1
gene_9	0.48628601188404863	sample_9	194	94	100
gene_10	0.9225293769554876	sample_9	152	140	12
gene_11	0.9973397644998879	sample_9	114	113	1
gene_12	0.9138228344028952	sample_9	156	142	14
gene_13	0.037483882066100205	sample_9	198	7	191
gene_14	0.43671509025366806	sample_9	191	83	108
gene_15	0.5632032181753602	sample_9	88	49	39
gene_16	0.5619496024000316	sample_9	130	73	57
gene_17	0.9445795492889569	sample_9	57	53	4
gene_18	0.9776054530944859	sample_9	56	54	2
gene_19	0.9576023957227239	sample_9	161	154	7
gene_20	0.25214308946857955	sample_9	186	46	140
gene_21	0.12492585131795919	sample_9	125	15	110
gene_22	0.5559239464295833	sample_9	153	85	68
gene_23	0.28504942188044324	sample_9	86	24	62
gene_24	0.3580023029042533	sample_9	133	47	86
gene_25	0.9691037982838779	sample_9	183	177	6
gene_26	0.205316865268938	sample_9	166	34	132
gene_27	0.16642959489681197	sample_9	170	28	142
gene_28	0.8864164737880923	sample_9	112	99	13
gene_29	0.5030728963029306	sample_9	136	68	68
gene_30	0.4215714610152089	sample_9	58	24	34
gene_31	0.16527987790137455	sample_9	182	30	152
gene_32	0.4148098569852081	sample_9	108	44	64
gene_33	0.8546880270800694	sample_9	156	133	23
gene_34	0.6532307622928091	sample_9	95	62	33
gene_35	0.6159500164928277	sample_9	112	68	44
gene_36	0.2804099070844742	sample_9	162	45	117
