gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.773405251749616	sample_14	189	146	43
gene_1	0.7148457549528128	sample_14	150	107	43
gene_2	0.6493964718866956	sample_14	82	53	29
gene_3	0.49108223731042544	sample_14	60	29	31
gene_4	0.8439755011809775	sample_14	59	49	10
gene_5	0.1993264188619599	sample_14	96	19	77
gene_6	0.13047803261342072	sample_14	85	11	74
gene_7	0.7439796722928999	sample_14	132	98	34
gene_8	0.5876455008859098	sample_14	89	52	37
gene_9	0.6605107503619175	sample_14	79	52	27
gene_10	0.4757159559726819	sample_14	171	81	90
gene_11	0.5218918373044704	sample_14	50	26	24
