gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.5296599979654704	sample_12	65	34	31
gene_1	0.5987477565701022	sample_12	113	67	46
gene_2	0.696651957080253	sample_12	128	89	39
gene_3	0.3164990832225648	sample_12	119	37	82
gene_4	0.11130097841438291	sample_12	120	13	107
gene_5	0.43836216019004126	sample_12	115	50	65
gene_6	0.8885007624600592	sample_12	60	53	7
gene_7	0.0855932498141222	sample_12	193	16	177
gene_8	0.9515984787237671	sample_12	83	78	5
gene_9	0.3854472537460134	sample_12	57	21	36
gene_10	0.8435257794014835	sample_12	54	45	9
gene_11	0.8035475583058038	sample_12	102	81	21
gene_12	0.3988296323234277	sample_12	55	21	34
gene_13	0.9081024058665588	sample_12	159	144	15
gene_14	0.6193327520695936	sample_12	169	104	65
gene_15	0.6436560515241535	sample_12	92	59	33
gene_16	0.5152936268221645	sample_12	176	90	86
gene_17	0.49951389686096503	sample_12	186	92	94
gene_18	0.2065131241605479	sample_12	70	14	56
gene_19	0.5384774651114621	sample_12	103	55	48
gene_20	0.19428081251013551	sample_12	72	13	59
gene_21	0.2717473558615987	sample_12	70	19	51
gene_22	0.7429897451828683	sample_12	82	60	22
gene_23	0.5640383695425235	sample_12	183	103	80
gene_24	0.3462118696877232	sample_12	82	28	54
gene_25	0.9449594892715577	sample_12	159	150	9
gene_26	0.6833593768815373	sample_12	131	89	42
gene_27	0.4498301998338603	sample_12	141	63	78
gene_28	0.5022654661765686	sample_12	68	34	34
gene_29	0.19910904341688707	sample_12	105	20	85
gene_30	0.9060665220001934	sample_12	71	64	7
gene_31	0.7286888422346404	sample_12	91	66	25
gene_32	0.8955182999987608	sample_12	145	129	16
gene_33	0.34567461466955496	sample_12	138	47	91
gene_34	0.16722486139061288	sample_12	84	14	70
gene_35	0.3585898471890704	sample_12	186	66	120
gene_36	0.9129414979648152	sample_12	135	123	12
gene_37	0.6544490195059048	sample_12	192	125	67
gene_38	0.6670412063851299	sample_12	116	77	39
gene_39	0.8732207477332569	sample_12	198	172	26
gene_40	0.6489811940817152	sample_12	150	97	53
gene_41	0.9856671893678679	sample_12	113	111	2
gene_42	0.6387290713403747	sample_12	193	123	70
gene_43	0.4397631766290939	sample_12	91	40	51
