gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.4042220902433651	sample_17	158	63	95
gene_1	0.7990200025848494	sample_17	145	115	30
gene_2	0.7945382623254234	sample_17	197	156	41
gene_3	0.765204576994441	sample_17	136	104	32
gene_4	0.34780675901316527	sample_17	74	25	49
gene_5	0.955862815813014	sample_17	175	167	8
gene_6	0.8418713078837197	sample_17	149	125	24
gene_7	0.1375875401073311	sample_17	166	22	144
gene_8	0.5401295347449365	sample_17	179	96	83
gene_9	0.2911337358784434	sample_17	154	44	110
gene_10	0.2076081300959518	sample_17	163	33	130
gene_11	0.15237502843468287	sample_17	148	22	126
gene_12	0.9139689716352069	sample_17	90	82	8
gene_13	0.5337371038033041	sample_17	110	58	52
gene_14	0.7766077631979109	sample_17	98	76	22
gene_15	0.5612031206047039	sample_17	138	77	61
gene_16	0.21304238642111462	sample_17	67	14	53
gene_17	0.12138243060054799	sample_17	52	6	46
gene_18	0.8303261642729957	sample_17	119	98	21
gene_19	0.3893249161595873	sample_17	59	22	37
gene_20	0.34221507276214136	sample_17	98	33	65
gene_21	0.8334953895083195	sample_17	196	163	33
gene_22	0.3685602335093179	sample_17	77	28	49
gene_23	0.12474913014813338	sample_17	104	12	92
gene_24	0.465403262683867	sample_17	170	79	91
gene_25	0.31012936584792694	sample_17	65	20	45
