gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.889116247118166	sample_6	96	85	11
gene_1	0.774354949073283	sample_6	120	92	28
gene_2	0.3743264473237994	sample_6	59	22	37
gene_3	0.6055089118162416	sample_6	102	61	41
gene_4	0.34184578148014344	sample_6	87	29	58
gene_5	0.8658388410755122	sample_6	162	140	22
gene_6	0.8568554710834281	sample_6	57	48	9
gene_7	0.6994986896611465	sample_6	128	89	39
gene_8	0.37653344208055683	sample_6	52	19	33
gene_9	0.8058776977227371	sample_6	71	57	14
gene_10	0.775060983525853	sample_6	104	80	24
gene_11	0.7093921876697447	sample_6	182	129	53
gene_12	0.5846319704500211	sample_6	125	73	52
gene_13	0.480740151453915	sample_6	115	55	60
gene_14	0.48808851659267527	sample_6	102	49	53
gene_15	0.6020509534145403	sample_6	176	105	71
gene_16	0.04593145042204472	sample_6	68	3	65
gene_17	0.27245213207313557	sample_6	119	32	87
gene_18	0.13102749839429395	sample_6	184	24	160
gene_19	0.8981886883762269	sample_6	147	132	15
gene_20	0.01641730677411435	sample_6	104	1	103
gene_21	0.19314845637383926	sample_6	68	13	55
gene_22	0.44994497770887976	sample_6	125	56	69
gene_23	0.4040358663662885	sample_6	162	65	97
gene_24	0.4351072152134128	sample_6	197	85	112
gene_25	0.5427056040524477	sample_6	125	67	58
gene_26	0.4203962525311844	sample_6	176	73	103
gene_27	0.23514319796753336	sample_6	85	19	66
gene_28	0.9548377342670517	sample_6	112	106	6
gene_29	0.4711607124181082	sample_6	175	82	93
gene_30	0.9648613686090434	sample_6	148	142	6
gene_31	0.8125495460618439	sample_6	84	68	16
gene_32	0.5441446062124787	sample_6	139	75	64
gene_33	0.6564971361898335	sample_6	52	34	18
gene_34	0.10437940566055193	sample_6	137	14	123
gene_35	0.3532260027489975	sample_6	103	36	67
gene_36	0.6784415638892001	sample_6	97	65	32
gene_37	0.7883013377036443	sample_6	188	148	40
gene_38	0.3973791784957098	sample_6	108	42	66
gene_39	0.41140259421904324	sample_6	162	66	96
gene_40	0.7102183652909945	sample_6	187	132	55
gene_41	0.9408331490622888	sample_6	50	47	3
gene_42	0.9358502048618251	sample_6	109	102	7
