gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.19976752757498173	sample_3	132	26	106
gene_1	0.5454649007219528	sample_3	184	100	84
gene_2	0.7299748688659397	sample_3	86	62	24
gene_3	0.0035319030419789232	sample_3	79	0	79
gene_4	0.3391399470375217	sample_3	199	67	132
gene_5	0.45251423204056995	sample_3	91	41	50
gene_6	0.4335071487055543	sample_3	193	83	110
gene_7	0.6107780343299247	sample_3	111	67	44
gene_8	0.3447725098123541	sample_3	80	27	53
gene_9	0.7931276360322056	sample_3	104	82	22
gene_10	0.022690560866139964	sample_3	113	2	111
gene_11	0.2123681832348604	sample_3	127	26	101
gene_12	0.2733949165123202	sample_3	54	14	40
gene_13	0.5663559382971859	sample_3	77	43	34
gene_14	0.5722713774898496	sample_3	90	51	39
gene_15	0.26927297241145276	sample_3	109	29	80
gene_16	0.9231535339697698	sample_3	129	119	10
gene_17	0.18905364406755787	sample_3	74	13	61
