gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.3243775186334038	sample_0	184	59	125
gene_1	0.5987173300268895	sample_0	109	65	44
gene_2	0.6642475893732375	sample_0	189	125	64
gene_3	0.4316407819963719	sample_0	120	51	69
gene_4	0.05870384273681839	sample_0	149	8	141
gene_5	0.9733839436465991	sample_0	136	132	4
gene_6	0.5493595979725109	sample_0	137	75	62
gene_7	0.1715391781654424	sample_0	102	17	85
gene_8	0.3457312869113591	sample_0	120	41	79
gene_9	0.933447132946411	sample_0	107	99	8
gene_10	0.7016037812569633	sample_0	182	127	55
gene_11	0.5855608595049755	sample_0	64	37	27
gene_12	0.8071932233668029	sample_0	177	142	35
gene_13	0.5627129532105183	sample_0	199	111	88
gene_14	0.23284236053351892	sample_0	87	20	67
