gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.43811962390454107	sample_13	88	38	50
gene_1	0.3029996860046187	sample_13	84	25	59
gene_2	0.9083484058150845	sample_13	69	62	7
gene_3	0.3364312219616964	sample_13	62	20	42
gene_4	0.31043587191822786	sample_13	58	18	40
gene_5	0.2289149551755314	sample_13	174	39	135
gene_6	0.29343589051644703	sample_13	131	38	93
gene_7	0.2522038504839934	sample_13	119	30	89
gene_8	0.6114257665324618	sample_13	81	49	32
gene_9	0.35892686284523057	sample_13	168	60	108
gene_10	0.6442484744773993	sample_13	107	68	39
gene_11	0.34153406424319144	sample_13	135	46	89
gene_12	0.5173850791619599	sample_13	169	87	82
gene_13	0.6617855496948486	sample_13	91	60	31
gene_14	0.19149037739713937	sample_13	74	14	60
gene_15	0.7273728766274125	sample_13	122	88	34
gene_16	0.5268081188935417	sample_13	137	72	65
gene_17	0.027286998464014944	sample_13	198	5	193
gene_18	0.28473977819978435	sample_13	133	37	96
gene_19	0.11303744675905958	sample_13	66	7	59
gene_20	0.9917790911629091	sample_13	188	186	2
gene_21	0.4441817368300478	sample_13	114	50	64
gene_22	0.05751360828213847	sample_13	132	7	125
gene_23	0.9095228848669268	sample_13	164	149	15
gene_24	0.2647008886355996	sample_13	111	29	82
gene_25	0.4355119641590103	sample_13	84	36	48
