gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.07713687341610131	sample_9	52	4	48
gene_1	0.7076885923908709	sample_9	127	89	38
gene_2	0.9307456868600059	sample_9	149	138	11
gene_3	0.9905661008050112	sample_9	115	113	2
gene_4	0.3841408617567028	sample_9	77	29	48
gene_5	0.5072534964513539	sample_9	141	71	70
gene_6	0.9552673249590508	sample_9	184	175	9
gene_7	0.08667300241484388	sample_9	196	16	180
gene_8	0.926992496481102	sample_9	55	50	5
gene_9	0.6950085339890634	sample_9	196	136	60
gene_10	0.027945612993085733	sample_9	137	3	134
gene_11	0.24882869150858056	sample_9	89	22	67
gene_12	0.3705732029831683	sample_9	92	34	58
gene_13	0.4505754435427577	sample_9	184	82	102
gene_14	0.9853960587102865	sample_9	140	137	3
gene_15	0.3047077719774599	sample_9	161	49	112
gene_16	0.25085103335374204	sample_9	153	38	115
gene_17	0.08755263245494782	sample_9	154	13	141
gene_18	0.7022028039211254	sample_9	160	112	48
gene_19	0.4656125246516608	sample_9	69	32	37
gene_20	0.7376960227424937	sample_9	174	128	46
gene_21	0.6711896220815389	sample_9	54	36	18
gene_22	0.39371676806699074	sample_9	140	55	85
gene_23	0.7411562867125927	sample_9	56	41	15
gene_24	0.4684670569648156	sample_9	74	34	40
gene_25	0.7499849147960865	sample_9	123	92	31
gene_26	0.4705248953279839	sample_9	132	62	70
gene_27	0.7327761742190724	sample_9	170	124	46
gene_28	0.11720689611018598	sample_9	64	7	57
gene_29	0.8155653374072482	sample_9	125	101	24
gene_30	0.297156270220607	sample_9	79	23	56
gene_31	0.3710681453319784	sample_9	190	70	120
gene_32	0.3393539992463501	sample_9	135	45	90
gene_33	0.5741958099633481	sample_9	136	78	58
gene_34	0.2845508811727193	sample_9	189	53	136
gene_35	0.8024026152197403	sample_9	66	52	14
gene_36	0.09603477977461261	sample_9	192	18	174
gene_37	0.8374119633987771	sample_9	132	110	22
