gene	vaf	sample_id	cov	t_alt_count	t_ref_count
gene_0	0.6077653857462393	sample_5	184	111	73
gene_1	0.7551890585789105	sample_5	65	49	16
gene_2	0.782017337996728	sample_5	151	118	33
gene_3	0.9449162813483378	sample_5	106	100	6
gene_4	0.7272830153624446	sample_5	150	109	41
gene_5	0.4123070106303456	sample_5	190	78	112
gene_6	0.5568230654974413	sample_5	70	38	32
gene_7	0.3736182602792255	sample_5	78	29	49
gene_8	0.8220569432095117	sample_5	167	137	30
gene_9	0.7506459216445068	sample_5	140	105	35
gene_10	0.7254076287227446	sample_5	119	86	33
gene_11	0.675561458778101	sample_5	140	94	46
gene_12	0.179698457418219	sample_5	119	21	98
gene_13	0.49348147216970417	sample_5	50	24	26
gene_14	0.26800188101653377	sample_5	167	44	123
gene_15	0.38174248104738706	sample_5	176	67	109
gene_16	0.41889444965227896	sample_5	163	68	95
gene_17	0.8827501374610158	sample_5	154	135	19
gene_18	0.3661048421208297	sample_5	161	58	103
gene_19	0.35853887762174175	sample_5	73	26	47
gene_20	0.25303902339713724	sample_5	188	47	141
gene_21	0.9722428212843611	sample_5	136	132	4
gene_22	0.2783368364002704	sample_5	140	38	102
gene_23	0.23585396712016216	sample_5	155	36	119
gene_24	0.7653948334817824	sample_5	109	83	26
gene_25	0.2727293733729699	sample_5	55	15	40
gene_26	0.020263450569219632	sample_5	125	2	123
gene_27	0.7439428524308244	sample_5	139	103	36
gene_28	0.3930669207035975	sample_5	84	33	51
gene_29	0.41663679470790893	sample_5	151	62	89
gene_30	0.26335742039568166	sample_5	70	18	52
gene_31	0.8651319134992493	sample_5	151	130	21
gene_32	0.1938987059014301	sample_5	65	12	53
gene_33	0.20908740253400282	sample_5	156	32	124
gene_34	0.5378364876435785	sample_5	113	60	53
gene_35	0.30696054104942383	sample_5	64	19	45
gene_36	0.504243169027007	sample_5	162	81	81
