	Repo	Type	Name	Description	url
0	getzlab/AnnoMate	Repository	getzlab/AnnoMate	Review anything (purities, mutations, etc) within a jupyter notebook with plotly dash and jupyter widgets	https://github.com/getzlab/AnnoMate
1	getzlab/AnnoMate	AppComponent	AppComponents		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents
2	getzlab/AnnoMate	AppComponent	CNVPlotComponent		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/CNVPlotComponent.py
3	getzlab/AnnoMate	AppComponent	DataTableComponents		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/DataTableComponents.py
4	getzlab/AnnoMate	AppComponent	MutationTableComponent		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/MutationTableComponent.py
5	getzlab/AnnoMate	AppComponent	PhylogicComponents		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/PhylogicComponents.py
6	getzlab/AnnoMate	AppComponent	__init__		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/__init__.py
7	getzlab/AnnoMate	AppComponent	utils		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/AppComponents/utils.py
8	getzlab/AnnoMate	Reviewer	Reviewers		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/Reviewers
9	getzlab/AnnoMate	Reviewer	ExampleReviewer		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/Reviewers/ExampleReviewer.py
10	getzlab/AnnoMate	Reviewer	__init__		https://github.com/getzlab/AnnoMate/blob/master/AnnoMate/Reviewers/__init__.py
11	getzlab/PurityReviewer	Repository	getzlab/PurityReviewer	Suite of purity reviewers and review components	https://github.com/getzlab/PurityReviewer
12	getzlab/PurityReviewer	AppComponent	AppComponents		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents
13	getzlab/PurityReviewer	AppComponent	AbsoluteCustomSolutionComponent		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/AbsoluteCustomSolutionComponent.py
14	getzlab/PurityReviewer	AppComponent	AbsoluteSolutionsReportComponent		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/AbsoluteSolutionsReportComponent.py
15	getzlab/PurityReviewer	AppComponent	__pycache__		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/__pycache__
16	getzlab/PurityReviewer	AppComponent	AbsoluteCustomSolutionComponent.cpython-39		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/__pycache__/AbsoluteCustomSolutionComponent.cpython-39.pyc
17	getzlab/PurityReviewer	AppComponent	AbsoluteSolutionsReportComponent.cpython-39		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/__pycache__/AbsoluteSolutionsReportComponent.cpython-39.pyc
18	getzlab/PurityReviewer	AppComponent	utils.cpython-39		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/__pycache__/utils.cpython-39.pyc
19	getzlab/PurityReviewer	AppComponent	utils		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/AppComponents/utils.py
20	getzlab/PurityReviewer	Reviewer	Reviewers		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers
21	getzlab/PurityReviewer	Reviewer	ManualPurityReviewer		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers/ManualPurityReviewer.py
22	getzlab/PurityReviewer	Reviewer	MatchedPurityReviewer		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers/MatchedPurityReviewer.py
